Time,19,25,29,48,52
2017-08-22 00:00:00,0,0,0,0,0
2017-08-22 06:00:00,0,0,0,0,0
2017-08-22 12:00:00,1,0,0,0,0
2017-08-22 18:00:00,2,0,0,0,0
2017-08-23 00:00:00,0,0,0,0,0
2017-08-23 06:00:00,0,0,0,0,0
2017-08-23 12:00:00,0,0,0,0,1
2017-08-23 18:00:00,2,0,1,0,0
2017-08-24 00:00:00,3,3,0,3,1
2017-08-24 06:00:00,2,0,0,0,0
2017-08-24 12:00:00,29,15,10,10,8
2017-08-24 18:00:00,82,48,20,80,26
2017-08-25 00:00:00,48,40,13,37,22
2017-08-25 06:00:00,13,11,8,14,11
2017-08-25 12:00:00,241,140,221,226,280
2017-08-25 18:00:00,444,273,308,242,491
2017-08-26 00:00:00,368,371,388,283,331
2017-08-26 06:00:00,67,61,139,73,50
2017-08-26 12:00:00,131,126,195,92,166
2017-08-26 18:00:00,48,182,30,23,95
2017-08-27 00:00:00,24,91,8,19,31
2017-08-27 06:00:00,13,29,4,3,12
2017-08-27 12:00:00,29,67,343,21,36
2017-08-27 18:00:00,43,71,135,41,48
2017-08-28 00:00:00,0,0,0,0,0
2017-08-28 06:00:00,0,0,0,0,0
2017-08-28 12:00:00,0,0,0,0,0
2017-08-28 18:00:00,7,4,18,9,3
2017-08-29 00:00:00,0,0,0,0,0
2017-08-29 06:00:00,0,0,0,0,0
2017-08-29 12:00:00,19,16,10,51,18
2017-08-29 18:00:00,0,0,0,0,0
